PROTID	GENEID	PROTLEN	9_1_Bio_S1-E9_1_2770_SPC	9_2_Bio_S1-E10_1_2771_SPC	9_3_Bio_S1-E11_1_2772_SPC	BID_GFP_C_1_S1-B10_1_5630_SPC	BID_GFP_C_1_S1-B6_1_5626_SPC	BID_GFP_C_1_S1-B6_1_6587_SPC	BID_GFP_C_2_S1-B11_1_5631_SPC	BID_GFP_C_2_S1-B7_1_5627_SPC	BID_GFP_C_2_S1-B7_1_6588_SPC	BID_GFP_C_3_S1-B8_1_5628_SPC	BID_GFP_C_3_S1-B8_1_6589_SPC	BID_GFP_MED_NLS_1_S1-C6_1_6599_SPC	BID_GFP_MED_NLS_2_S1-C7_1_6600_SPC	BID_GFP_MED_NLS_3_S1-C8_1_6601_SPC	BID_GFP_MYC_NLS_1_S1-C10_1_6603_SPC	BID_GFP_MYC_NLS_2_S1-C11_1_6604_SPC	BID_GFP_MYC_NLS_3_S1-C12_1_6605_SPC	BID_GFP_NLS1_1_S1-B2_1_5622_SPC	BID_GFP_NLS1_1_S1-C2_1_6595_SPC	BID_GFP_NLS1_2_S1-B3_1_5623_SPC	BID_GFP_NLS1_2_S1-C3_1_6596_SPC	BID_GFP_NLS1_3_S1-B4_1_5624_SPC	BID_GFP_NLS1_3_S1-C4_1_6597_SPC	BID_GFP_N_1_S1-B10_1_6591_SPC	BID_GFP_N_2_S1-B11_1_6592_SPC	BID_GFP_N_3_S1-B12_1_6593_SPC	BID_gfp-nls_1_S2-B6_1_4628_SPC	BID_gfp-nls_2_S2-B7_1_4629_SPC	BID_gfp-nls_3_S2-B8_1_4630_SPC	Bio_GFP_1_S2-A1_1_3928_SPC	Bio_GFP_2_S2-A2_1_3929_SPC	Bio_GFP_3_S2-A3_1_3930_SPC	Bio_GFP_4_S2-A4_1_3931_SPC	GFP1_Bio_S1-C3_1_2608_SPC	GFP1_Bio_S1-C4_1_2609_SPC	GFP1_Bio_S1-C5_1_2610_SPC	GFP1_Bio_S1-C6_1_2611_SPC	GFP_BIO1_S3-D5_1_1185_SPC	GFP_BIO2_S3-D6_1_1186_SPC	GFP_BIOID_Slot1-23_1_251_SPC	GFP_BIOID_Slot1-24_1_254_SPC	GFP_BIO_1_S1-C12_1_4066_SPC	GFP_C_1_Bio_S1-B8_1_6794_SPC	GFP_C_2_Bio_S1-B9_1_6795_SPC	GFP_C_BIO_1_S2-C6_1_4541_SPC	GFP_C_BIO_2_S2-C7_1_4542_SPC	GFP_C_BIO_3_S2-C8_1_4543_SPC	GFP_N_1_Bio_S1-B11_1_6797_SPC	GFP_N_2_Bio_S1-B12_1_6798_SPC	GFP_S1-H2_1_6362_SPC	GFP_S1-H3_1_6363_SPC	MAC2_C_GFP_BIO10_S1-B5_1_4434_SPC	MAC2_C_GFP_BIO1_S3-E1_1_3610_SPC	MAC2_C_GFP_BIO2_S3-E2_1_3611_SPC	MAC2_C_GFP_BIO3_S3-E3_1_3612_SPC	MAC2_C_GFP_BIO4_S3-E4_1_3613_SPC	MAC2_C_GFP_BIO5_S3-E5_1_3614_SPC	MAC2_C_GFP_BIO6_S3-E6_1_3615_SPC	MAC2_C_GFP_BIO7_S3-E7_1_3616_SPC	MAC2_C_GFP_BIO8_S3-E8_1_3617_SPC	MAC2_C_GFP_BIO9_S1-B4_1_4433_SPC	MAC2_N_GFP_BIO10_S1-B8_1_4437_SPC	MAC2_N_GFP_BIO1_S3-F1_1_3619_SPC	MAC2_N_GFP_BIO2_S3-F2_1_3620_SPC	MAC2_N_GFP_BIO3_S3-F3_1_3621_SPC	MAC2_N_GFP_BIO4_S3-F4_1_3622_SPC	MAC2_N_GFP_BIO5_S3-F5_1_3623_SPC	MAC2_N_GFP_BIO6_S3-F6_1_3624_SPC	MAC2_N_GFP_BIO7_S3-F7_1_3625_SPC	MAC2_N_GFP_BIO8_S3-F8_1_3626_SPC	MAC2_N_GFP_BIO9_S1-B7_1_4436_SPC	MAC_N_GFP_BIO4_S3-D4_1_3676_SPC	MAC_N_GFP_BIO5_S3-D5_1_3677_SPC	MED_1_Bio_S1-C2_1_6800_SPC	MED_2_Bio_S1-C3_1_6801_SPC	MYC_1_Bio_S1-C5_1_6803_SPC	MYC_2_Bio_S1-C6_1_6804_SPC	NLS1_1_Bio_S1-B5_1_6791_SPC	NLS1_2_Bio_S1-B6_1_6792_SPC	SUC_N_GFP_BIO10_S1-C2_1_4443_SPC	SUC_N_GFP_BIO1_S3-H1_1_3637_SPC	SUC_N_GFP_BIO2_S3-H2_1_3638_SPC	SUC_N_GFP_BIO3_S3-H3_1_3639_SPC	SUC_N_GFP_BIO4_S3-H4_1_3640_SPC	SUC_N_GFP_BIO5_S3-H5_1_3641_SPC	SUC_N_GFP_BIO6_S3-H6_1_3642_SPC	SUC_N_GFP_BIO7_S3-H7_1_3643_SPC	SUC_N_GFP_BIO8_S3-H8_1_3644_SPC	SUC_N_GFP_BIO9_S1-C1_1_4442_SPC
Q9C086	INO80B	356	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	1	1	0	1	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0	1	5	3	1	2	0	0	0	0	0	0	0	0	0	1	0	0
Q9C0A1	ZFHX2	2572	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0A6	SETD5	1442	0	0	0	0	0	0	0	0	0	0	0	3	1	3	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	4	4	0	1	0	0	0	0	0	0	0	0	0	0
Q9C0B0	UNK	810	0	1	0	7	2	3	3	2	2	0	3	0	0	0	0	1	0	0	4	1	6	0	5	1	3	2	0	0	0	2	0	3	5	2	3	4	4	10	4	2	3	0	9	10	1	1	0	5	5	3	6	3	2	1	2	1	3	2	4	4	2	0	3	2	5	4	4	4	5	4	2	0	1	0	1	0	1	11	11	0	1	2	2	3	4	2	1	3	0
Q9C0B1	FTO	505	0	0	0	2	0	2	2	0	1	1	0	9	8	9	5	6	5	0	1	1	0	0	1	0	3	5	0	0	0	3	4	2	1	0	0	1	0	0	1	13	11	1	1	1	0	0	0	1	0	0	0	2	0	1	1	1	0	0	1	0	2	1	2	1	1	1	2	3	0	0	0	0	1	6	4	2	3	1	1	0	2	2	1	1	0	1	1	1	0
Q9C0B5	ZDHHC5	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0B7	TANGO6	1094	0	0	0	10	4	12	8	3	14	5	14	8	7	9	8	10	13	6	14	5	12	2	15	9	4	10	2	2	1	6	8	13	12	11	10	9	10	1	2	14	11	1	14	11	1	6	3	9	6	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	7	6	9	11	18	16	0	0	0	0	0	0	0	0	0	0
Q9C0B9	ZCCHC2	1178	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Q9C0C2	TNKS1BP1	1729	1	3	1	13	14	7	11	14	3	12	4	0	0	0	0	0	0	1	8	0	4	0	5	13	9	14	0	0	0	9	6	17	15	12	9	14	13	19	19	3	5	5	10	10	13	8	6	17	19	8	7	28	25	23	22	22	25	26	22	30	28	12	35	37	44	40	48	47	41	41	7	5	3	0	0	2	0	14	11	0	2	2	1	1	3	1	2	1	0
Q9C0C7	AMBRA1	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0C9	UBE2O	1292	4	4	8	26	23	31	29	14	23	23	21	22	18	21	14	22	17	4	24	4	29	0	18	30	30	30	1	1	0	25	31	37	37	31	31	22	29	20	23	28	26	22	27	26	15	23	13	26	22	19	17	33	24	21	35	26	18	23	25	23	29	3	18	22	17	16	14	17	20	20	3	18	18	6	11	13	14	19	24	0	9	11	15	15	12	11	11	11	0
Q9C0D3	ZYG11B	744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Q9C0D4	ZNF518B	1074	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0
Q9C0D5	TANC1	1861	0	0	0	5	0	4	7	0	7	0	4	0	0	0	0	0	1	0	2	0	5	0	5	1	1	1	0	0	0	0	0	2	3	1	2	1	2	16	15	2	0	2	6	6	0	3	1	1	6	4	2	0	2	0	0	1	2	2	3	3	2	1	6	9	2	3	11	6	5	8	1	2	2	0	1	0	0	6	7	0	0	0	0	0	0	0	0	0	0
Q9C0E2	XPO4	1151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0E8	LNPK	428	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	3	2	1	1	0	2	0	1	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Q9C0F0	ASXL3	2248	0	0	0	1	0	0	1	0	1	0	0	1	2	2	3	1	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Q9C0F1	CEP44	390	0	0	0	4	2	1	3	1	3	0	1	0	0	0	0	0	0	0	2	0	2	0	1	5	3	1	0	0	0	1	2	2	2	1	0	1	0	1	0	2	0	0	1	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Q9C0G0	ZNF407	2248	0	0	0	1	1	2	0	0	3	1	1	1	0	1	2	1	0	0	1	1	2	0	1	2	0	1	0	0	0	1	0	1	1	1	1	2	2	1	0	2	1	0	1	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0
Q9C0H2	TTYH3	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Q9C0I1	MTMR12	747	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	2	2	1	0	1	0	0	1	1	0	2	0	1	1	0	2	1	4	0	1	2	0	0	0	0	0	0	0	1	1	1	1	0	1	0	3	0
Q9C0J8	WDR33	1336	2	0	3	9	6	7	8	12	7	15	12	28	29	27	22	28	28	30	10	21	10	21	6	6	11	17	12	23	13	5	7	11	13	3	5	1	2	21	21	108	106	4	14	10	8	8	6	15	14	6	7	11	7	12	8	13	13	10	12	14	14	27	17	22	27	28	27	24	29	27	6	11	9	30	26	39	31	13	17	0	4	4	3	2	6	9	4	5	2
Q9C0K0	BCL11B	894	0	0	0	0	0	0	0	0	0	0	0	5	5	4	3	5	5	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0K3	ACTR3C	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
Q9GZL7	WDR12	423	1	2	0	8	6	9	9	10	5	8	5	12	12	10	11	10	7	11	4	7	6	8	6	4	4	7	2	2	1	2	2	6	6	6	4	5	3	5	3	9	8	5	7	6	0	0	0	1	2	3	2	4	1	0	3	4	3	2	2	2	4	0	5	6	4	4	4	3	4	3	1	1	2	8	6	10	9	5	4	0	1	3	3	1	2	2	3	3	0
Q9GZN1	ACTR6	396	1	1	0	4	4	4	2	8	3	12	4	12	10	12	8	6	9	10	6	7	3	8	2	4	6	11	3	5	2	0	0	3	5	3	5	5	4	2	2	26	22	0	5	6	0	0	0	11	6	3	6	3	0	4	1	5	1	2	3	5	5	0	11	5	5	12	7	7	8	7	2	4	4	18	16	12	16	4	9	0	0	0	0	0	0	1	0	0	0
Q9GZN8	C20orf27	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	12	7	14	8	7	8	5	6	8	12	2	7	5	3	6	5	5	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9GZP9	DERL2	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9GZR1	SENP6	1112	1	1	1	9	3	8	10	3	10	1	6	28	32	27	27	26	30	5	9	5	16	2	5	6	11	9	4	4	2	6	2	5	7	1	3	6	5	16	12	37	34	2	4	7	2	3	2	8	8	3	3	3	7	5	4	3	2	5	2	3	4	2	12	14	9	9	7	10	11	8	2	9	6	18	28	30	20	6	8	1	3	7	7	6	9	7	6	10	2
Q9GZR2	REXO4	422	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	6	4	0	2	0	2	0	0	19	16	0	0	1	0	0	1	7	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	7	7	6	9	1	1	0	0	0	0	0	0	0	0	0	0
Q9GZR7	DDX24	859	8	7	9	6	3	0	8	3	0	6	0	5	3	4	1	0	3	14	0	19	0	9	0	3	3	4	11	17	14	0	0	13	12	14	8	11	9	0	0	42	40	0	13	24	0	2	3	18	28	8	5	0	4	4	3	6	7	5	5	6	1	0	4	1	2	3	5	4	5	7	0	0	0	32	33	28	36	9	10	0	3	1	3	1	0	2	0	3	0
Q9GZS1	POLR1E	419	0	1	0	1	2	6	2	1	4	0	6	13	9	12	9	8	7	1	6	1	6	1	5	10	5	6	1	1	0	2	0	2	5	3	4	1	1	0	0	13	9	0	0	1	2	2	2	2	3	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	11	8	0	4	0	0	0	0	0	0	0	0	0	0
Q9GZS3	WDR61	305	3	4	5	14	11	24	21	10	24	16	14	20	21	19	24	20	25	12	24	10	24	15	24	26	22	20	7	8	7	8	10	3	9	18	15	16	17	21	18	37	33	9	16	13	0	0	0	13	11	16	17	12	16	18	12	10	14	13	12	14	16	8	7	10	14	9	11	10	12	16	2	8	10	25	25	17	15	15	13	0	10	7	9	7	8	6	6	8	0
Q9GZT3	SLIRP	109	3	4	4	0	2	1	0	2	1	1	3	3	4	4	4	2	2	0	1	1	1	0	1	4	6	5	0	0	0	1	1	0	0	3	2	3	3	0	0	3	3	0	0	0	1	0	0	0	0	1	1	2	1	0	1	1	1	1	1	1	2	0	1	1	1	0	0	1	1	2	0	3	7	0	0	0	0	0	0	0	3	2	2	4	2	2	3	3	0
Q9GZT5	WNT10A	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9GZT8	NIF3L1	377	0	0	1	1	3	1	1	1	2	1	1	0	0	1	1	1	1	0	2	0	1	0	1	1	1	1	0	0	0	2	1	1	2	1	1	2	2	2	0	0	0	1	2	4	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	0	0	1	2	2	3	1	1	1	0
Q9GZT9	EGLN1	426	1	2	1	8	16	13	8	15	9	20	12	3	5	5	4	7	5	0	8	0	14	0	8	6	5	9	0	0	0	5	6	15	15	3	8	7	8	12	10	8	8	1	10	13	1	1	0	7	8	4	3	5	5	8	5	5	3	4	6	5	7	10	20	25	25	21	24	20	19	18	7	12	9	2	1	4	9	14	18	1	3	5	6	7	6	6	5	5	0
Q9GZU8	PSME3IP1	254	2	3	1	1	0	0	0	0	0	1	1	10	6	5	5	5	3	2	0	1	2	3	2	1	4	1	2	1	2	1	1	4	3	1	1	2	1	3	3	16	14	1	2	2	2	2	2	2	1	0	1	1	1	0	0	1	1	0	2	1	1	1	2	2	3	6	3	2	2	6	3	2	1	7	7	8	8	4	3	1	2	3	3	2	3	2	2	2	1
Q9GZY8	MFF	342	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	2	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	2	0	1	1	1	1	0	3	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Q9GZZ1	NAA50	169	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	3	1	3	2	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9GZZ9	UBA5	404	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	4	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Q9H000	MKRN2	416	2	1	2	0	0	2	0	0	1	0	2	5	2	2	1	2	1	0	1	0	1	0	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	1	1	3	3	4	3	0	1	2	2	1	2	1	4	3	0	1	1	0	0	0	0	0	0	0	1	2	2	3	2	2	3	4	0
Q9H009	NACA2	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H019	MTFR1L	292	0	0	0	3	0	1	2	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0
Q9H074	PAIP1	479	0	0	0	4	2	0	3	0	1	2	1	0	1	1	2	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	2	4	2	3	3	5	3	2	1	0	0	0	4	2	0	0	0	1	1	1	3	1	0	0	0	0	0	0	0	0	1	0	1	2	1	1	0	1	1	1	0	0	0	1	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0
Q9H078	CLPB	707	10	3	3	0	1	10	0	0	9	1	10	8	7	6	7	7	9	2	9	1	7	0	11	8	14	14	0	0	0	2	4	1	0	0	1	0	0	1	0	1	2	0	0	1	0	0	0	3	3	0	0	1	2	0	0	3	2	2	1	4	3	0	0	3	1	2	0	0	3	1	0	6	3	0	0	0	1	0	0	0	0	0	1	3	2	2	1	0	0
Q9H079	KATNBL1	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H081	MIS12	205	2	1	1	3	2	1	3	0	1	1	1	2	1	1	0	1	2	1	2	2	1	1	0	1	3	2	1	1	0	1	0	2	1	1	0	0	0	1	1	12	12	1	1	0	0	0	0	2	3	2	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0
Q9H082	RAB33B	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H089	LSG1	658	0	0	0	2	0	4	4	0	7	0	3	3	5	2	5	7	6	0	7	0	5	0	9	7	7	2	0	0	0	1	3	10	8	3	2	5	4	8	4	5	2	0	3	5	0	0	0	3	9	4	2	3	4	9	6	4	6	4	5	8	1	1	5	4	4	6	2	8	2	4	0	8	10	0	0	0	0	3	2	0	6	3	1	1	2	2	3	1	0
Q9H098	FAM107B	131	0	0	0	4	0	5	4	0	5	0	4	3	3	4	2	4	3	0	5	0	5	0	4	3	3	4	0	0	0	0	0	7	3	1	2	1	1	3	2	12	8	0	14	7	8	2	2	7	5	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	4	6	5	8	7	0	0	0	0	0	0	0	0	0	0
Q9H0A0	NAT10	1025	8	9	4	5	19	2	7	20	3	18	11	24	23	27	18	16	16	37	4	38	2	32	1	12	9	13	36	33	32	7	5	27	29	20	24	17	20	2	2	64	48	4	9	10	4	6	0	32	33	1	2	6	17	10	7	13	5	5	6	7	6	10	20	21	20	19	15	12	16	23	6	4	4	37	40	34	42	24	23	0	3	5	5	5	5	6	3	3	0
Q9H0A8	COMMD4	199	0	0	0	2	1	2	1	0	2	1	3	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	2	2	1	0	0	1	3	2	2	5	4	3	1	1	0	0	0	0	4	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	1	2	0	1	0	1	0	1	2	0	0	0
Q9H0B6	KLC2	622	2	1	1	13	13	5	13	11	5	11	7	0	0	0	1	1	1	0	6	0	6	0	9	14	13	13	0	0	0	2	2	10	6	9	6	6	8	6	8	8	6	1	10	11	1	0	0	10	12	3	3	1	3	4	4	1	2	3	5	4	6	0	4	7	5	4	5	3	4	7	0	2	2	0	0	1	3	14	8	0	2	2	1	2	3	2	1	1	0
Q9H0C8	ILKAP	392	1	2	3	2	1	3	1	1	1	1	1	6	2	4	3	6	6	1	1	2	2	2	1	4	6	3	1	2	1	5	5	1	1	1	5	4	1	1	2	18	15	5	4	2	0	0	0	3	1	4	3	6	4	3	5	5	4	5	4	4	5	3	5	4	5	6	6	6	5	7	3	3	1	7	5	6	6	3	4	0	1	0	2	3	1	1	4	2	0
Q9H0D6	XRN2	950	30	26	24	29	14	40	25	22	39	19	34	58	61	66	68	64	58	28	41	27	45	9	40	49	53	49	10	17	8	19	17	24	23	21	22	16	21	19	11	81	82	8	15	11	24	20	19	23	23	13	15	28	33	25	31	23	24	22	26	24	26	13	30	28	29	27	30	24	23	23	5	25	16	44	45	40	45	16	15	12	40	37	34	35	35	42	36	39	8
Q9H0E2	TOLLIP	274	2	1	2	2	2	0	1	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	3	1	2	4	1	1	2	0	0	0	0	1	1	2	3	3	5	6	2	2	5	4	2	3	0	1	2	1	1	1	1	1	1	1	3	1	0	1	0	0	1	2	0	4	3	5	3	3	2	3	5	0
Q9H0E3	SAP130	1048	0	1	0	11	11	10	10	9	8	6	8	14	7	12	11	15	11	13	7	12	9	10	9	12	16	12	8	11	11	4	2	11	13	2	3	4	2	4	3	26	20	4	11	10	5	3	6	8	4	3	5	3	2	1	8	2	2	2	3	4	4	0	3	5	3	4	5	7	3	5	0	12	10	16	13	15	13	9	10	0	0	0	0	0	0	0	0	0	1
Q9H0E9	BRD8	1235	1	2	3	3	8	6	5	8	4	7	5	10	8	9	15	11	15	14	4	10	4	10	7	6	7	7	1	2	1	1	0	3	2	4	2	4	5	5	4	28	24	0	7	5	0	0	0	8	5	4	2	8	7	6	6	7	5	8	6	8	5	3	12	7	8	13	11	7	7	10	1	1	1	21	18	17	17	5	5	0	4	2	3	4	3	4	2	6	0
